Accession	BactReads
SRR4305032	673687
SRR4305034	908174
SRR4305052	1391780
SRR4305053	944276
SRR4305070	233046
SRR4305074	765427
SRR4305077	2481510
SRR4305088	1694023
SRR4305091	557793
SRR4305099	882185
SRR4305172	542870
SRR4305173	447048
SRR4305174	579146
SRR4305176	233523
SRR4305187	1017925
SRR4305202	1559937
SRR4305203	508047
SRR4305204	146338
SRR4305205	535146
SRR4305206	777242
SRR4305208	2544326
SRR4305222	744066
SRR4305225	151553
SRR4305228	355087
SRR4305255	160231
SRR4305256	527537
SRR4305264	354496
SRR4305265	466478
SRR4305267	783627
SRR4305268	142368
SRR4305269	1018621
SRR4305272	381167
SRR4305273	635803
SRR4305274	777452
SRR4305283	237756
SRR4305284	974884
SRR4305286	181732
SRR4305287	126983
SRR4305290	334209
SRR4305291	9557
SRR4305298	184979
SRR4305304	409322
SRR4305314	660357
SRR4305315	223906
SRR4305336	293560
SRR4305337	543210
SRR4305347	364068
SRR4305348	57017
SRR4305351	1223336
SRR4305361	756894
SRR4305362	57942
SRR4305363	243697
SRR4305364	1059932
SRR4305368	406779
SRR4305373	460262
SRR4305374	1085035
SRR4305375	781275
SRR4305377	943523
SRR4305384	490584
SRR4305385	716838
SRR4305386	843461
SRR4305396	163743
SRR4305397	541059
SRR4305403	1764246
SRR4305405	642402
SRR4305406	198947
SRR4305407	206708
SRR4305408	193403
SRR4305409	194156
SRR4305410	294103
SRR4305420	2201338
SRR4305457	1534117
SRR4305477	1956565
SRR4305478	1142810
SRR4305479	1241109
SRR4305487	456584
SRR4305488	1450252
SRR4305499	2097902
SRR4305502	1361813
SRR4305503	1027154
SRR4305508	2890296
SRR4305515	2438206
SRR4305522	1025391
SRR4305524	925836
SRR4408011	576026
SRR4408022	75108
SRR4408029	1149941
SRR4408030	185538
SRR4408037	29084
SRR4408038	1814241
SRR4408044	24315
SRR4408052	231279
SRR4408054	321108
SRR4408056	778797
SRR4408059	1572348
SRR4408067	864615
SRR4408074	884533
SRR4408075	649593
SRR4408083	59832
SRR4408088	38616
SRR4408098	711607
SRR4408106	2114705
SRR4408108	1084770
SRR4408123	65031
SRR4408124	1328293
SRR4408125	1861488
SRR4408130	1559949
SRR4408134	491079
SRR4408135	920634
SRR4408137	476739
SRR4408141	1210384
SRR4408147	478014
SRR4408153	465902
SRR4408156	468518
SRR4408157	430648
SRR4408168	1893588
SRR4408171	307396
SRR4408181	1141456
SRR4408183	128928
SRR4408184	376842
SRR4408191	355908
SRR4408194	294499
SRR4408195	233756
SRR4408203	195239
SRR4408205	401809
SRR4408228	1517289
SRR4408234	900632
SRR4408262	1045027
