Feature,Aggregated_Score,Iteration_1_Score,Iteration_2_Score,Iteration_3_Score,Iteration_4_Score,Iteration_5_Score,Iteration_6_Score,Iteration_7_Score,Iteration_8_Score,Iteration_9_Score,Iteration_10_Score,Gene_Cluster
PF00510.24,0.15479584137504782,0.16325479976428756,0.16669302812925882,0.17321210462781914,0.1834128748269546,0.1549463458752426,0.15717139139463074,0.13295305035141833,0.15874038176964125,0.06650342249479692,0.19107101451642813,49
PF01871.22,0.07405049924543335,0.08129597807001121,0.03909340430688702,0.06180213785921804,0.05744072995913103,0.09025679408935057,0.041790868860697744,0.06525406563253583,0.1048108852699166,0.12716128699901164,0.07159884140757375,28
PF00296.26,0.05977613870114377,0.044852766263481614,0.10332976064705894,0.05068939406067476,0.05474058351691824,0.0709517565317021,0.054415415865206485,0.04711451666740155,0.028413438953187774,0.09757305164900432,0.04568070285680192,17
PF10371.14,0.05836700695314969,0.05897852447263818,0.07559237672749967,0.08678549694618738,0.018070547543308533,0.05828837196787554,0.07979811978648242,0.08668851300801118,0.05705579590913118,0.01805656937450244,0.044355753795860486,22
PF17910.6,0.04331044919481673,0.03779527193163113,0.026459554357914996,0.0726892863182793,0.04694819613004773,0.06983525115819449,0.01739656554908441,0.040204092638357176,0.06226057067658545,0.022253151065709856,0.03726255212236287,22
PF02579.22,0.04092534846055891,0.036387261866114545,0.0685706733660104,0.021306455473550766,0.03633906395404071,0.04637193997038439,0.029000815718296297,0.03882143458294011,0.03564317643464012,0.045239070377975164,0.05157359286163662,22
PF16870.10,0.03827698963433881,0.03986528255949467,0.035273397597186944,0.02814430105093353,0.036255398246760426,0.025495452447806488,0.02883714124435342,0.03432404037163482,0.043858453393624285,0.04884341886327782,0.06187301056831571,49
PF00116.26,0.037642821506399485,0.02072900172828004,0.03603297552723132,0.02825644636645559,0.06221406215042361,0.025688295575982182,0.09292873990207821,0.024321045456402585,0.032230127812988986,0.03509521532365304,0.018932305220499202,49
PF13597.11,0.03214218810562947,0.04186861140224193,0.05409362525537806,0.010623433993873296,0.035117304180834565,0.03863084912905618,0.04257620465631581,0.007469905288762911,0.0341776584179698,0.015240131598717267,0.04162415713314488,2
PF03063.25,0.028324769185895254,0.029456753829658688,0.006553728073522503,0.007080729392926598,0.01625025759928485,0.014873708893449892,0.025665316871984895,0.06184965744417783,0.04778943368311181,0.03688009858316538,0.036848007487670066,22
PF01521.26,0.027900034465408462,0.0513852159416193,0.016457575150383725,0.02493846232038438,0.014135013221113353,0.022077983521376663,0.01093522641052326,0.024348143600275995,0.031160032840910526,0.07075951853387455,0.012803173113622899,49
PF05425.18,0.02331187655720653,0.0302350254915477,0.03114590032296116,0.017845495731418453,0.01394205109058265,0.02597195483958653,0.02170137643003595,0.04245799697788747,0.019109592921218017,0.023184438547368402,0.007524933219458958,16
PF17773.7,0.021841481731292956,0.018017217150525015,0.018762018785490345,0.02865982158059548,0.03243559319700873,0.022894283981591285,0.011276458270657526,0.02677959884620511,0.015659548024469807,0.011887091608868266,0.03204318586751796,29
PF00115.25,0.02019593217943739,0.04488917173153861,0.010648658603727318,0.0338482658459388,0.008732206406864446,0.019902997324040463,0.01293226705207995,0.0237482084568512,0.015669231995579572,0.010071206082424032,0.0215171082953295,49
PF00916.26,0.019450294054671795,0.012419279941284533,0.01601664907303327,0.04594096512311454,0.007075307700823083,0.037640649000993676,0.024164995162059413,0.005770800247514048,0.018494059211970375,0.017056960616547958,0.009923274469377082,18
PF08530.16,0.018613652820313846,0.011792326349005433,0.027167461363917494,0.014104732753995665,0.027060476416835937,0.02285362709861116,0.010451584355803794,0.015011309917214227,0.042053887957582824,0.014334284611208193,0.0013068373789636913,39
PF01152.27,0.01775942522917507,0.0038952106707199215,0.007656200632864359,0.020454619926568357,0.007946069177099828,0.02028388629940736,0.014393498091077978,0.02389522422776233,0.024494916097846986,0.037900178733743205,0.01667444843466037,5
PF02906.19,0.017730125885524698,0.029106446346185894,0.022880319467884585,0.014117267200928407,0.024037509447567797,0.013016723053180449,0.01985865321811421,0.023020658621406228,0.0058837697695591044,0.02243747691316225,0.002942434817258069,28
PF05721.19,0.016590087411453246,0.005337173508063901,0.021793125967032697,0.02622167868035764,0.00029627357597706905,0.014242836176260506,0.017759479683986844,0.016370004200144228,0.0260378567309031,0.0013076459763010737,0.03653479961550544,7
PF00042.28,0.016387295756342225,0.017209981111024054,0.018409294942454732,0.03833554273095261,0.02254333651718185,0.007161027411718004,0.016818994919009084,0.012272583310410236,0.013980129436726973,0.004851995500543036,0.012290071683401642,37
